Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Wed,2016-08-31,18:00 (11:00),Andorra,0–5,Hércules,,Estadio Juan Antonio Endeiza,Iosu Galech,Match Report,
First Round,Wed,2016-08-31,18:00 (11:00),Caudal,2–1,Burgos,,Estadio Municipal Hermanos Antuña,Alain García,Match Report,
First Round,Wed,2016-08-31,19:00 (12:00),Cirbonero,(6) 0–0 (5),Ponferradina,,Estadio San Juan,Iñaki Sáez Oribe,Match Report,Cirbonero won on penalty kicks following extra time
First Round,Wed,2016-08-31,20:00 (13:00),CD Boiro,1–3,Guijuelo,,Campo Municipal de Barraña,Jaime Ruiz,Match Report,Required Extra Time
First Round,Wed,2016-08-31,20:00 (13:00),Sestao,4–2,Santa Brigida,,Estadio Las Llanas,José López,Match Report,
First Round,Wed,2016-08-31,20:00 (13:00),Amorebieta,2–1,Socuéllamos,,Campo Municipal de Urritxe,Sergio Usón,Match Report,Required Extra Time
First Round,Wed,2016-08-31,20:00 (13:00),Saguntino,(3) 1–1 (4),SD Formentera,,Estadio Nou Camp de Morvedre,Albert Ávalos,Match Report,SD Formentera won on penalty kicks following extra time
First Round,Wed,2016-08-31,20:30 (13:30),Calahorra,(3) 0–0 (1),UD Logroñés,,Estadio La Planilla,David Recio,Match Report,Calahorra won on penalty kicks following extra time
First Round,Wed,2016-08-31,20:30 (13:30),Laredo,2–3,Leonesa,,Campo San Lorenzo,Carlos Álvarez,Match Report,Required Extra Time
First Round,Wed,2016-08-31,20:30 (13:30),Barakaldo,4–0,Zamudio,,Estadio Nuevo Lasesarre,César Díez,Match Report,
First Round,Wed,2016-08-31,20:30 (13:30),Lleida,1–0,AE Prat,,Camp d'Esports de Lleida,Daniel Yuste,Match Report,
First Round,Wed,2016-08-31,20:45 (13:45),Cornellà,2–1,SS Reyes,,Campo de Fútbol Municipal de Cornellá,Víctor Rives,Match Report,Required Extra Time
First Round,Wed,2016-08-31,20:45 (13:45),CF Lorca Dep,1–2,Lorca FC,,Estadio Francisco Artés Carrasco,Antonio Artacho,Match Report,Required Extra Time
First Round,Wed,2016-08-31,21:00 (14:00),Extremadura,5–0,Mancha Real,,Estadio Francisco de la Hera,Rubén Ruipérez,Match Report,
First Round,Wed,2016-08-31,21:00 (14:00),Ferrol,3–2,Zamora CF,,Estadio Municipal de A Malata,Eduardo Rodríguez,Match Report,
First Round,Wed,2016-08-31,21:00 (14:00),Albacete,2–1,Real Unión,,Estadio Carlos Belmonte,Rafael Sánchez,Match Report,
First Round,Wed,2016-08-31,21:30 (14:30),Sanluqueño,1–0,Real Murcia,,Estadio El Palmar,Francisco Hernández,Match Report,
First Round,Wed,2016-08-31,21:30 (14:30),Toledo,2–0,Conquense,,Estadio Municipal Salto del Caballo,Alfonso Vicente Moral,Match Report,
Second Round,Tue,2016-09-06,19:00 (12:00),Mirandés,(3) 2–2 (4),Elche,2727,Estadio Municipal de Anduva,Eduardo Prieto,Match Report,Elche won on penalty kicks following extra time
Second Round,Tue,2016-09-06,20:00 (13:00),Lugo,1–2,Tenerife,2500,Estadio Anxo Carro,Víctor Areces,Match Report,
Second Round,Tue,2016-09-06,22:00 (15:00),Almería,0–2,Rayo Vallecano,5397,Estadio de los Juegos Mediterráneos,Dámaso Arcediano,Match Report,
Second Round,Wed,2016-09-07,17:00 (10:00),Albacete,2–0,Arenas,1314,Estadio Carlos Belmonte,Juan Campos,Match Report,
Second Round,Wed,2016-09-07,17:00 (10:00),Tudelano,1–0,Sanluqueño,450,Estadio Municipal Ciudad de Tudela,Óscar Herrero,Match Report,
Second Round,Wed,2016-09-07,17:45 (10:45),Caudal,1–0,Lleida,600,Estadio Municipal Hermanos Antuña,Álvaro López,Match Report,
Second Round,Wed,2016-09-07,19:00 (12:00),Gimnàstic,1–0,Numancia,3787,Nou Estadi de Tarragona,Gorka Sagues,Match Report,Required Extra Time
Second Round,Wed,2016-09-07,19:30 (12:30),SD Formentera,(7) 2–2 (8),Lorca FC,400,Estadio Municipal,Jerónimo Montes,Match Report,Lorca FC won on penalty kicks following extra time
Second Round,Wed,2016-09-07,20:00 (13:00),Cádiz,(3) 1–1 (2),Levante,12389,Estadio Ramón de Carranza,Alberola Rojas,Match Report,Cádiz won on penalty kicks following extra time
Second Round,Wed,2016-09-07,20:15 (13:15),Guijuelo,1–0,Sestao,600,Estadio Municipal de Guijuelo,Carlos Sánchez,Match Report,
Second Round,Wed,2016-09-07,20:30 (13:30),Barakaldo,(2) 3–3 (3),Amorebieta,700,Estadio Nuevo Lasesarre,Julio Leo,Match Report,Amorebieta won on penalty kicks following extra time
Second Round,Wed,2016-09-07,20:30 (13:30),Santander,2–1,Llagostera,5456,Campos de Sport de El Sardinero,Fernando Román,Match Report,
Second Round,Wed,2016-09-07,20:30 (13:30),Toledo,4–0,Alcoyano,1600,Estadio Municipal Salto del Caballo,Antonio Santos,Match Report,
Second Round,Wed,2016-09-07,20:30 (13:30),Leonesa,3–1,Calahorra,1613,Estadio Municipal Reino de León,Sergio Espasandín Cores,Match Report,
Second Round,Wed,2016-09-07,20:30 (13:30),Ferrol,(4) 0–0 (5),Cirbonero,1200,Estadio Municipal de A Malata,Álvaro Alonso,Match Report,Cirbonero won on penalty kicks following extra time
Second Round,Wed,2016-09-07,20:45 (13:45),Cornellà,3–1,Extremadura,600,Campo de Fútbol Municipal de Cornellá,Ivan González,Match Report,Required Extra Time
Second Round,Wed,2016-09-07,21:30 (14:30),Cartagena,(5) 1–1 (6),Hércules,7600,Estadio Municipal Cartagonova,Luis Montero,Match Report,Hércules won on penalty kicks following extra time
Second Round,Wed,2016-09-07,22:00 (15:00),Zaragoza,1–2,Valladolid,10525,Estadio de la Romareda,Francisco Arias,Match Report,
